"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"W06D4.3",11.5677843127919,2.1221640488478,0.773760781873214,2.74266168377028,0.00609434389826665,0.0554328133668337
"prmt-7",405.292794675079,-0.0149475263997698,0.31657876032044,-0.0472158220110533,0.962341217444459,0.98871504133671
"W06D11.1",98.6240581975993,-1.18845712375734,0.426578196283788,-2.786024072751,0.00533589089445982,0.0515143645740514
"W06D11.2",42.1112204030437,-0.966626243185082,0.496719072065924,-1.94602200226528,0.0516520967172782,0.209220458392625
"W06D11.3",82.3306104439442,-0.493150753270077,0.758631569028167,-0.650053034178132,0.51565796505489,0.773948265971667
"dot-1.3",2.2250606599137,3.37549388331689,1.69987891844243,1.9857260694837,0.047063748684036,NA
"W06D11.5",0.22954598308129,-0.748211003717311,5.95631994394938,-0.125616321950161,0.900035642254854,NA
"cutl-4",0.817494326552983,0.40565386819189,2.40624616194606,0.168583694639046,0.8661241067754,NA
"W06D12.6",0.401175020849434,0,3.82100155398765,0,1,NA
"W06F12.2",46.4832201035219,0.137772502331122,0.468920385839111,0.293807875476738,0.768904716802703,0.920416190000783
"W06F12.3",7.24195794401264,2.42405450686342,1.01671948047909,2.38419205435228,0.0171166668881376,0.105978884866396
"oac-53",1.76802726033546,-0.318532259081062,1.43703329773359,-0.221659623046616,0.824578864324658,NA
"W06G6.2",0.102730323468972,0,6.0969540663659,0,1,NA
"mltn-11",0.790730586422469,-1.45865806542574,2.38736524915005,-0.610990742176989,0.54120570924413,NA
"W06G6.9",1.75687777877312,2.02701979756208,1.47649714829433,1.37285723843336,0.169796732429915,NA
"W06G6.10",1.23683594796236,-1.77298190945135,2.05792977496728,-0.861536642803828,0.388942548694076,NA
"W06G6.11",0.146988156552668,0,6.0975439140757,0,1,NA
"W06G6.12",0.835331282541037,-0.334198412595264,2.32848583768158,-0.143526066247419,0.885874726470134,NA
"immt-2",83.6404530420235,0.534748074736193,0.521394341511153,1.0256115806442,0.305074706589437,0.598419934929547
"ctps-1",288.989100048561,0.301711075912275,0.530103394188009,0.569155148260131,0.569250855551908,0.808633312481856
"ztf-6",55.4380375515329,-0.975108484877226,0.560408899187217,-1.73999464728605,0.0818599578564952,0.279629163827471
"srxa-1",3.03493885293442,-1.74898624162509,1.22312952991761,-1.42992724715174,0.152737900889258,0.406755022158491
"ipla-3",377.007481719998,-0.396522766067376,0.279081412918944,-1.4208139550395,0.155370852656232,0.411337076144495
"srxa-3",0.574178584252244,-2.33009917392148,3.12120225865197,-0.746538987488699,0.455341889172453,NA
"srxa-6",3.80704656305635,-1.52203416263658,1.257437853518,-1.21042495927596,0.226115869305011,0.504810452261531
"W07A12.4",8.41559831698073,0.568458964138104,0.798778440778779,0.711660374288367,0.476675111063762,0.750271449686553
"oac-54",6.12945193882139,0.403337229622644,0.802562235466377,0.502561934512481,0.615272297699556,0.837244970714513
"rhy-1",8.29581144216785,0.180179951398593,0.609781944449335,0.295482595112431,0.767625246197251,0.919652760635594
"W07A12.8",5.86388099163511,-0.473108633248691,0.96315441084474,-0.491207461567609,0.623279722077721,0.842084530796085
"W07E11.1",223.68566888632,-0.394822519294397,0.36388987632016,-1.08500550575093,0.277919216759938,0.568404159723095
"W07G1.1",1.91710136567194,0.587627937268033,1.43470426450962,0.409581229946985,0.682113168261601,NA
"sre-44",3.06478160155063,0.371139702572257,1.43348387172931,0.258907483991799,0.795706623640563,0.92985769362341
"zip-3",19.9100665773121,-0.30479881650866,0.769408041550631,-0.396147167755592,0.691996463704028,0.880218409302041
"rpi-1",4.84902851431042,0.562477868737816,0.955069441213015,0.588939237782987,0.555902034953828,0.80007737577641
"sre-43",11.919026859456,-1.41821829575484,1.0500439343739,-1.35062757788365,0.176814762081922,0.440877396813396
"W07G1.7",4.22724938460228,-0.552323502720359,1.38710218649392,-0.398185157588444,0.690493705883286,0.879277792585114
"W07G4.1",0.278728551373623,1.08141186721716,6.09498689979511,0.177426446520092,0.859173435533188,NA
"W07G4.2",0.731285443992983,0.420565397013919,2.54704602283342,0.165118884089133,0.868850409670502,NA
"scyl-1",716.175309966751,0.341424729334743,0.311794369337654,1.09503173537108,0.27350273339846,0.563188764995992
"W07G4.5",104.637450414741,-0.398897789603028,0.267552357950735,-1.49091487235735,0.135983846184336,0.379331788960712
"dct-15",1.32824039274004,1.51805242122392,1.98696684515014,0.764004907746315,0.444864317952432,NA
"catp-6",192.5954298013,-0.160567041158943,0.402796181054895,-0.398630991829241,0.690165122259211,0.879264532630041
"mtr-4",418.813842731819,-0.321422417321883,0.166026123739335,-1.93597495431818,0.0528707685396757,0.212288560671683
"casc-3",68.8735787100333,-0.660513835477396,0.425065373701074,-1.55391117777074,0.120205605086951,0.352018569047464
"ola-1",503.049811609474,-0.308963765996384,0.253722444358643,-1.21772343308996,0.223329089096896,0.501103291027323
"W08E3.4",29.2151826714741,1.38163093558965,0.679664990496695,2.0328116865045,0.042071551993548,0.185288541732843
"W08G11.1",2.18011001878581,0.605559241338443,1.44062084152064,0.420346022968297,0.674232693520384,NA
"W08G11.3",71.1622509194372,-0.372665796871117,0.406523078530348,-0.91671498262379,0.359292012887784,0.649504277713584
"pptr-1",648.539226709533,-0.125934117042857,0.206901481295558,-0.608667063446303,0.542745142680569,0.791941622629695
"W08G11.5",0.362812551497463,0,4.43254073330362,0,1,NA
"C11G10.t1",0.544307972954346,-0.694946203567205,3.46222965368597,-0.200722156841141,0.840915833642225,NA
"W09C5.1",1513.46515234092,-0.303131064820144,0.429105618583703,-0.706425298789263,0.479923692674811,0.752137499833746
"dkf-1",134.738666790006,-0.0101347955917837,0.309850519290142,-0.0327086609859562,0.973906917120111,0.991243667839209
"sac-2",289.221625219903,0.357999558648569,0.401778437395019,0.891037261655214,0.372909180550317,0.662377235904474
"cox-4",766.674294426694,0.0584508307131381,0.408157846673861,0.143206436405578,0.886127146701691,0.964003443374323
